# S145 mined breadth set: the final position of one game per row,
# labelled by stockfish at 200000 nodes. Regenerate with:
#   ~/.venv/chess/bin/python adocs/data/S145_mined_set.py mine --games N
# Scored as a count with a floor, never per position:
#   ~/.venv/chess/bin/python adocs/data/S145_mined_set.py score --depth 10 --floor 143
fen	distance	game
r1b5/1p3p2/p1p2p2/7Q/4k3/1N5P/Pq6/5RK1 w - - 2 28	7	953
r5k1/1R6/pn1p1r2/3n4/1p1Q1Bp1/8/1PP2PP1/1K6 w - - 0 29	7	5460
r5rk/1pp4p/5b1q/3P1pN1/8/PQ2P2b/1PBN4/R5K1 b - - 0 31	7	1144
1Q6/4k3/5R2/2r1K3/5p2/8/8/8 w - - 1 56	8	2705
2q1k2r/2p2p2/p1Pp1Q2/1p1P1pP1/5p2/4P3/PP6/2K5 w - - 2 31	8	2960
3Q4/5Npk/8/pb2p1pP/4P3/PP3PP1/5q1K/8 w - - 1 60	8	4069
3R4/6Bk/6pP/1p2N3/2b2p2/P5KP/4r3/8 w - - 0 45	8	2405
3rk3/1p3pQp/nP1p1p2/3PpN2/4P3/q7/6PP/6RK w - - 2 34	8	1249
4K2k/3P1Q2/7P/p7/1p2q3/8/8/8 w - - 5 69	8	3948
4r1k1/7p/5n2/Q6q/2P2Kp1/1P3PP1/P1R1P3/8 b - - 5 41	8	4307
5kr1/4r2p/p2Q2nN/2pN4/1pPq4/5P2/6KP/4R1R1 w - - 1 43	8	3220
6N1/2k1PB2/6p1/p6p/3K4/6rP/8/8 w - - 0 51	8	1522
6R1/8/2p2p1p/5r2/2P3Pk/8/6K1/8 w - - 0 50	8	522
6k1/2Q2pp1/8/P1P5/4rB1p/3K1b2/3R2q1/8 b - - 1 40	8	4601
6k1/8/2P3Kp/1Br5/6p1/8/5R2/8 w - - 1 47	8	957
6k1/pR3b1r/5Q2/5KP1/P2p4/3BqP2/2P5/8 w - - 1 40	8	4201
8/1P1R4/8/6p1/6k1/5p1p/1r6/6K1 b - - 1 73	8	2772
8/1p3r1k/pBp2Rp1/2P2q1p/7P/P1P3K1/4Qn2/8 b - - 7 39	8	4453
8/2r5/8/2K4k/6pP/4B3/1p3P2/bQ6 w - - 5 46	8	2954
8/3p1r1k/b1pNpQp1/p3P3/3B4/qr6/6PP/3R2K1 w - - 0 33	8	4400
8/8/2k1K3/3R4/8/8/8/8 w - - 3 114	8	3281
8/K2k1p2/5Q2/8/P7/8/6qp/8 b - - 11 74	8	4451
8/P5R1/3k4/3ppb2/8/2P5/5n2/2K5 w - - 0 54	8	2541
8/P5k1/5ppp/3qp3/2p5/1bQpBP2/6PP/R5K1 w - - 0 43	8	3675
r3r1k1/p5q1/2P5/bP5R/7Q/2N2p2/P4P2/5R1K w - - 2 32	8	2401
r4bk1/2p1q3/p2p3p/3P4/PpPN4/3Q2P1/P1B5/1K3R2 w - - 1 30	8	3878
r7/3b1kb1/1N6/1PpPp1P1/6p1/PQB1qp1r/5R2/3R2K1 b - - 2 49	8	5862
2Q1q3/8/8/7k/6p1/6P1/5PK1/8 w - - 100 105	9	864
2r3r1/1P1k1pp1/2N1p2b/4P3/2R2n1p/8/5BPP/R4K2 w - - 1 34	9	818
3n2k1/p2BP3/5Qp1/1p5p/2p4P/8/1P3PP1/4q1K1 w - - 1 53	9	4053
3r1r2/3k1p1p/p1R2p2/4n3/3qBQ2/7P/2P3P1/4R2K w - - 0 28	9	3332
5Q2/3k2p1/4p2r/4P1N1/4Pp2/2R4P/1P1r1PKP/3q4 w - - 6 38	9	4936
6k1/2P4p/1R4p1/p2K4/P6r/8/8/8 w - - 0 45	9	3965
6k1/3R4/1P6/8/6p1/2r5/1r4p1/3B2K1 b - - 1 57	9	1620
6k1/B4pPp/5b1n/8/4P3/5P1n/PPrr3P/R4K1R b - - 3 32	9	4518
7k/2p5/2Pp4/3P2pp/P2P4/1K1BQpq1/8/8 w - - 2 57	9	3016
8/3r2pk/7p/6Q1/5RPK/2B2P1P/PP4q1/8 b - - 0 45	9	3141
8/5kP1/1p2p2K/p2pP3/P2P4/3P4/8/8 w - - 1 77	9	4704
8/8/2r5/8/P3k3/3pp3/8/1R3K2 b - - 1 57	9	2876
8/8/7p/8/P1n2Rnk/5p2/2r5/4RK2 b - - 3 53	9	358
8/8/8/8/8/1K3k2/4p3/8 b - - 1 110	9	5121
8/Pq6/8/2K5/8/3k4/5B2/8 b - - 13 94	9	715
r3kqQ1/6b1/5p1p/p6P/1p1P3P/PB2P3/5P2/1R4K1 w - - 10 46	9	3381
r4rk1/pppb4/4p1P1/4Ppp1/q1B2Q2/P7/2PB1PP1/R4RK1 w - - 0 23	9	2000
1Q6/4P1kp/p5pb/1pB5/8/P2q3P/4b1P1/1R3rK1 w - - 0 42	10	633
4b2k/pp4pp/8/3Q1p2/2B2P1n/8/P1P2RPP/1q4K1 w - - 4 25	10	4915
5r1k/3PQ1p1/8/2p1P2p/P1P5/1P4N1/3q1P1K/8 w - - 0 51	10	4052
5r2/5K1k/8/8/6R1/8/8/8 w - - 2 73	10	156
5r2/p1pqNkb1/2ppnBRQ/7p/4P2P/8/PPP2P2/2K3R1 w - - 1 25	10	2534
6k1/1r3pp1/4p3/p3P2p/1Bq5/Q4R2/2rp1PP1/5RK1 b - - 0 36	10	67
7k/7P/pp1Q2P1/q3b3/7P/1p6/P3R2K/6r1 w - - 8 45	10	1110
7k/b1p3p1/r2P2Bp/1p6/6P1/8/2R3KP/8 w - - 0 41	10	5699
8/1p1R1pk1/p5p1/P2P4/1P1R3P/5pr1/1r6/5K2 b - - 1 40	10	3472
8/1p6/6k1/PP6/4pB2/4K3/6P1/8 w - - 1 54	10	1607
8/2B2R2/8/P2p2p1/2bP1pkp/8/6K1/r7 b - - 1 68	10	2655
8/2K5/1P6/8/k7/8/8/8 w - - 1 101	10	1382
8/7p/7k/7B/3pp1P1/5n2/1P3Q1q/5K2 b - - 7 59	10	4768
8/8/4Q3/6r1/5K2/8/6pk/8 w - - 4 97	10	3311
8/8/8/8/1K6/2pk4/8/8 b - - 3 110	10	5248
r2n4/1p1bk3/p3pp2/q7/5P1Q/6R1/2P2PBP/3R2K1 w - - 0 39	10	257
r5k1/1q3p2/p2p2nB/2p5/3bb3/P5PP/1P1Q1P2/3R2K1 b - - 1 30	10	77
